date,category,demand,month_end,year,week_of_year,bank_holidays_in_week,has_bank_holiday,is_new_year_fitness,is_back_to_school,is_exam_season,is_q4_holiday_electronics,weeks_to_new_year_start,weeks_to_bts_start,weeks_to_exam_start,weeks_to_q4_start
1988-12-01,school_supplies,51.3,25/12/1988,1988,49,2,1,0,0,0,1,-49,-16,-32,-5
1989-01-01,electronic_goods,32.4,29/01/1989,1989,2,0,0,1,0,0,0,-1,32,17,43
1989-01-01,fitness_equipment,16.0,29/01/1989,1989,2,0,0,1,0,0,0,-1,32,17,43
1989-01-01,school_supplies,52.1,29/01/1989,1989,2,0,0,1,0,0,0,-1,32,17,43
1989-02-01,electronic_goods,33.3,26/02/1989,1989,6,0,0,0,0,0,0,-6,27,12,38
1989-02-01,fitness_equipment,16.1,26/02/1989,1989,6,0,0,0,0,0,0,-6,27,12,38
1989-02-01,school_supplies,52.1,26/02/1989,1989,6,0,0,0,0,0,0,-6,27,12,38
1989-03-01,electronic_goods,33.4,26/03/1989,1989,10,1,1,0,0,0,0,-10,23,8,34
1989-03-01,fitness_equipment,15.8,26/03/1989,1989,10,1,1,0,0,0,0,-10,23,8,34
1989-03-01,school_supplies,52.4,26/03/1989,1989,10,1,1,0,0,0,0,-10,23,8,34
1989-04-01,electronic_goods,34.7,30/04/1989,1989,14,0,0,0,0,0,0,-14,19,4,30
1989-04-01,fitness_equipment,15.8,30/04/1989,1989,14,0,0,0,0,0,0,-14,19,4,30
1989-04-01,school_supplies,51.5,30/04/1989,1989,14,0,0,0,0,0,0,-14,19,4,30
1989-05-01,electronic_goods,33.6,28/05/1989,1989,19,1,1,0,0,1,0,-18,15,0,26
1989-05-01,fitness_equipment,16.4,28/05/1989,1989,19,1,1,0,0,1,0,-18,15,0,26
1989-05-01,school_supplies,52.7,28/05/1989,1989,19,1,1,0,0,1,0,-18,15,0,26
1989-06-01,electronic_goods,33.8,25/06/1989,1989,23,0,0,0,0,1,0,-23,10,-5,21
1989-06-01,fitness_equipment,16.4,25/06/1989,1989,23,0,0,0,0,1,0,-23,10,-5,21
1989-06-01,school_supplies,51.4,25/06/1989,1989,23,0,0,0,0,1,0,-23,10,-5,21
1989-07-01,electronic_goods,33.7,30/07/1989,1989,28,0,0,0,0,0,0,-27,6,-9,17
1989-07-01,fitness_equipment,16.4,30/07/1989,1989,28,0,0,0,0,0,0,-27,6,-9,17
1989-07-01,school_supplies,50.5,30/07/1989,1989,28,0,0,0,0,0,0,-27,6,-9,17
1989-08-01,electronic_goods,33.8,27/08/1989,1989,32,1,1,0,1,0,0,-32,1,-14,12
1989-08-01,fitness_equipment,16.8,27/08/1989,1989,32,1,1,0,1,0,0,-32,1,-14,12
1989-08-01,school_supplies,52.3,27/08/1989,1989,32,1,1,0,1,0,0,-32,1,-14,12
1989-09-01,electronic_goods,34.4,24/09/1989,1989,36,0,0,0,1,0,0,-36,-3,-18,8
1989-09-01,fitness_equipment,17.1,24/09/1989,1989,36,0,0,0,1,0,0,-36,-3,-18,8
1989-09-01,school_supplies,52.1,24/09/1989,1989,36,0,0,0,1,0,0,-36,-3,-18,8
1989-10-01,electronic_goods,34.7,29/10/1989,1989,41,0,0,0,0,0,1,-40,-7,-22,4
1989-10-01,fitness_equipment,17.2,29/10/1989,1989,41,0,0,0,0,0,1,-40,-7,-22,4
1989-10-01,school_supplies,51.7,29/10/1989,1989,41,0,0,0,0,0,1,-40,-7,-22,4
1989-11-01,electronic_goods,33.9,26/11/1989,1989,45,0,0,0,0,0,1,-45,-12,-27,-1
1989-11-01,fitness_equipment,17.1,26/11/1989,1989,45,0,0,0,0,0,1,-45,-12,-27,-1
1989-11-01,school_supplies,51.3,26/11/1989,1989,45,0,0,0,0,0,1,-45,-12,-27,-1
1989-12-01,electronic_goods,35.0,31/12/1989,1989,49,2,1,0,0,0,1,-49,-16,-31,-5
1989-12-01,fitness_equipment,18.0,31/12/1989,1989,49,2,1,0,0,0,1,-49,-16,-31,-5
1989-12-01,school_supplies,51.1,31/12/1989,1989,49,2,1,0,0,0,1,-49,-16,-31,-5
1990-01-01,electronic_goods,34.9,28/01/1990,1990,2,1,1,1,0,0,0,0,32,17,43
1990-01-01,fitness_equipment,18.0,28/01/1990,1990,2,1,1,1,0,0,0,0,32,17,43
1990-01-01,school_supplies,51.2,28/01/1990,1990,2,1,1,1,0,0,0,0,32,17,43
1990-02-01,electronic_goods,36.3,25/02/1990,1990,6,0,0,0,0,0,0,-5,27,12,38
1990-02-01,fitness_equipment,18.0,25/02/1990,1990,6,0,0,0,0,0,0,-5,27,12,38
1990-02-01,school_supplies,53.1,25/02/1990,1990,6,0,0,0,0,0,0,-5,27,12,38
1990-03-01,electronic_goods,37.4,25/03/1990,1990,10,0,0,0,0,0,0,-9,23,8,34
1990-03-01,fitness_equipment,18.3,25/03/1990,1990,10,0,0,0,0,0,0,-9,23,8,34
1990-03-01,school_supplies,52.5,25/03/1990,1990,10,0,0,0,0,0,0,-9,23,8,34
1990-04-01,electronic_goods,36.0,29/04/1990,1990,15,1,1,0,0,1,0,-13,19,4,30
1990-04-01,fitness_equipment,17.6,29/04/1990,1990,15,1,1,0,0,1,0,-13,19,4,30
1990-04-01,school_supplies,52.5,29/04/1990,1990,15,1,1,0,0,1,0,-13,19,4,30
1990-05-01,electronic_goods,36.3,27/05/1990,1990,19,1,1,0,0,1,0,-18,14,-1,25
1990-05-01,fitness_equipment,17.9,27/05/1990,1990,19,1,1,0,0,1,0,-18,14,-1,25
1990-05-01,school_supplies,53.3,27/05/1990,1990,19,1,1,0,0,1,0,-18,14,-1,25
1990-06-01,electronic_goods,36.3,24/06/1990,1990,23,0,0,0,0,1,0,-22,10,-5,21
1990-06-01,fitness_equipment,17.8,24/06/1990,1990,23,0,0,0,0,1,0,-22,10,-5,21
1990-06-01,school_supplies,52.0,24/06/1990,1990,23,0,0,0,0,1,0,-22,10,-5,21
1990-07-01,electronic_goods,36.6,29/07/1990,1990,28,0,0,0,0,0,0,-26,6,-9,17
1990-07-01,fitness_equipment,18.3,29/07/1990,1990,28,0,0,0,0,0,0,-26,6,-9,17
1990-07-01,school_supplies,52.0,29/07/1990,1990,28,0,0,0,0,0,0,-26,6,-9,17
1990-08-01,electronic_goods,35.6,26/08/1990,1990,32,1,1,0,1,0,0,-31,1,-14,12
1990-08-01,fitness_equipment,18.1,26/08/1990,1990,32,1,1,0,1,0,0,-31,1,-14,12
1990-08-01,school_supplies,52.6,26/08/1990,1990,32,1,1,0,1,0,0,-31,1,-14,12
1990-09-01,electronic_goods,36.7,30/09/1990,1990,36,0,0,0,1,0,0,-35,-3,-18,8
1990-09-01,fitness_equipment,18.1,30/09/1990,1990,36,0,0,0,1,0,0,-35,-3,-18,8
1990-09-01,school_supplies,52.4,30/09/1990,1990,36,0,0,0,1,0,0,-35,-3,-18,8
1990-10-01,electronic_goods,37.5,28/10/1990,1990,41,0,0,0,0,0,1,-39,-7,-22,4
1990-10-01,fitness_equipment,18.2,28/10/1990,1990,41,0,0,0,0,0,1,-39,-7,-22,4
1990-10-01,school_supplies,51.0,28/10/1990,1990,41,0,0,0,0,0,1,-39,-7,-22,4
1990-11-01,electronic_goods,36.6,25/11/1990,1990,45,0,0,0,0,0,1,-44,-12,-27,-1
1990-11-01,fitness_equipment,18.2,25/11/1990,1990,45,0,0,0,0,0,1,-44,-12,-27,-1
1990-11-01,school_supplies,49.3,25/11/1990,1990,45,0,0,0,0,0,1,-44,-12,-27,-1
1990-12-01,electronic_goods,37.9,30/12/1990,1990,49,2,1,0,0,0,1,-48,-16,-31,-5
1990-12-01,fitness_equipment,20.5,30/12/1990,1990,49,2,1,0,0,0,1,-48,-16,-31,-5
1990-12-01,school_supplies,50.9,30/12/1990,1990,49,2,1,0,0,0,1,-48,-16,-31,-5
1991-01-01,electronic_goods,34.9,27/01/1991,1991,2,0,0,1,0,0,0,-1,31,16,42
1991-01-01,fitness_equipment,17.3,27/01/1991,1991,2,0,0,1,0,0,0,-1,31,16,42
1991-01-01,school_supplies,51.4,27/01/1991,1991,2,0,0,1,0,0,0,-1,31,16,42
1991-02-01,electronic_goods,34.6,24/02/1991,1991,6,0,0,0,0,0,0,-5,27,12,38
1991-02-01,fitness_equipment,17.3,24/02/1991,1991,6,0,0,0,0,0,0,-5,27,12,38
1991-02-01,school_supplies,50.0,24/02/1991,1991,6,0,0,0,0,0,0,-5,27,12,38
1991-03-01,electronic_goods,40.1,31/03/1991,1991,10,1,1,0,0,0,0,-9,23,8,34
1991-03-01,fitness_equipment,18.8,31/03/1991,1991,10,1,1,0,0,0,0,-9,23,8,34
1991-03-01,school_supplies,52.2,31/03/1991,1991,10,1,1,0,0,0,0,-9,23,8,34
1991-04-01,electronic_goods,35.1,28/04/1991,1991,15,1,1,0,0,1,0,-13,19,4,30
1991-04-01,fitness_equipment,18.8,28/04/1991,1991,15,1,1,0,0,1,0,-13,19,4,30
1991-04-01,school_supplies,51.6,28/04/1991,1991,15,1,1,0,0,1,0,-13,19,4,30
1991-05-01,electronic_goods,35.9,26/05/1991,1991,19,1,1,0,0,1,0,-18,14,-1,25
1991-05-01,fitness_equipment,18.1,26/05/1991,1991,19,1,1,0,0,1,0,-18,14,-1,25
1991-05-01,school_supplies,51.7,26/05/1991,1991,19,1,1,0,0,1,0,-18,14,-1,25
1991-06-01,electronic_goods,35.7,30/06/1991,1991,23,0,0,0,0,1,0,-22,10,-5,21
1991-06-01,fitness_equipment,18.2,30/06/1991,1991,23,0,0,0,0,1,0,-22,10,-5,21
1991-06-01,school_supplies,51.6,30/06/1991,1991,23,0,0,0,0,1,0,-22,10,-5,21
1991-07-01,electronic_goods,35.4,28/07/1991,1991,28,0,0,0,0,0,0,-26,6,-9,17
1991-07-01,fitness_equipment,18.4,28/07/1991,1991,28,0,0,0,0,0,0,-26,6,-9,17
1991-07-01,school_supplies,53.1,28/07/1991,1991,28,0,0,0,0,0,0,-26,6,-9,17
1991-08-01,electronic_goods,35.3,25/08/1991,1991,32,1,1,0,1,0,0,-31,1,-14,12
1991-08-01,fitness_equipment,18.1,25/08/1991,1991,32,1,1,0,1,0,0,-31,1,-14,12
1991-08-01,school_supplies,51.2,25/08/1991,1991,32,1,1,0,1,0,0,-31,1,-14,12
1991-09-01,electronic_goods,34.1,29/09/1991,1991,37,0,0,0,1,0,0,-35,-3,-18,8
1991-09-01,fitness_equipment,18.4,29/09/1991,1991,37,0,0,0,1,0,0,-35,-3,-18,8
1991-09-01,school_supplies,51.1,29/09/1991,1991,37,0,0,0,1,0,0,-35,-3,-18,8
1991-10-01,electronic_goods,34.9,27/10/1991,1991,41,0,0,0,0,0,1,-40,-8,-23,3
1991-10-01,fitness_equipment,18.5,27/10/1991,1991,41,0,0,0,0,0,1,-40,-8,-23,3
1991-10-01,school_supplies,51.3,27/10/1991,1991,41,0,0,0,0,0,1,-40,-8,-23,3
1991-11-01,electronic_goods,35.3,24/11/1991,1991,45,0,0,0,0,0,1,-44,-12,-27,-1
1991-11-01,fitness_equipment,19.5,24/11/1991,1991,45,0,0,0,0,0,1,-44,-12,-27,-1
1991-11-01,school_supplies,51.9,24/11/1991,1991,45,0,0,0,0,0,1,-44,-12,-27,-1
1991-12-01,electronic_goods,31.4,29/12/1991,1991,49,2,1,0,0,0,1,-48,-16,-31,-5
1991-12-01,fitness_equipment,19.6,29/12/1991,1991,49,2,1,0,0,0,1,-48,-16,-31,-5
1991-12-01,school_supplies,49.2,29/12/1991,1991,49,2,1,0,0,0,1,-48,-16,-31,-5
1992-01-01,electronic_goods,38.5,26/01/1992,1992,2,0,0,1,0,0,0,-1,31,16,42
1992-01-01,fitness_equipment,17.3,26/01/1992,1992,2,0,0,1,0,0,0,-1,31,16,42
1992-01-01,school_supplies,51.4,26/01/1992,1992,2,0,0,1,0,0,0,-1,31,16,42
1992-02-01,electronic_goods,35.5,23/02/1992,1992,6,0,0,0,0,0,0,-5,27,12,38
1992-02-01,fitness_equipment,17.9,23/02/1992,1992,6,0,0,0,0,0,0,-5,27,12,38
1992-02-01,school_supplies,50.8,23/02/1992,1992,6,0,0,0,0,0,0,-5,27,12,38
1992-03-01,electronic_goods,36.1,29/03/1992,1992,11,0,0,0,0,0,0,-9,23,8,34
1992-03-01,fitness_equipment,18.1,29/03/1992,1992,11,0,0,0,0,0,0,-9,23,8,34
1992-03-01,school_supplies,50.0,29/03/1992,1992,11,0,0,0,0,0,0,-9,23,8,34
1992-04-01,electronic_goods,34.3,26/04/1992,1992,15,1,1,0,0,1,0,-14,18,3,29
1992-04-01,fitness_equipment,18.7,26/04/1992,1992,15,1,1,0,0,1,0,-14,18,3,29
1992-04-01,school_supplies,52.0,26/04/1992,1992,15,1,1,0,0,1,0,-14,18,3,29
1992-05-01,electronic_goods,38.2,31/05/1992,1992,19,1,1,0,0,1,0,-18,14,-1,25
1992-05-01,fitness_equipment,19.3,31/05/1992,1992,19,1,1,0,0,1,0,-18,14,-1,25
1992-05-01,school_supplies,50.9,31/05/1992,1992,19,1,1,0,0,1,0,-18,14,-1,25
1992-06-01,electronic_goods,36.3,28/06/1992,1992,24,0,0,0,0,1,0,-22,10,-5,21
1992-06-01,fitness_equipment,18.8,28/06/1992,1992,24,0,0,0,0,1,0,-22,10,-5,21
1992-06-01,school_supplies,51.7,28/06/1992,1992,24,0,0,0,0,1,0,-22,10,-5,21
1992-07-01,electronic_goods,35.0,26/07/1992,1992,28,0,0,0,0,0,0,-27,5,-10,16
1992-07-01,fitness_equipment,18.0,26/07/1992,1992,28,0,0,0,0,0,0,-27,5,-10,16
1992-07-01,school_supplies,52.2,26/07/1992,1992,28,0,0,0,0,0,0,-27,5,-10,16
1992-08-01,electronic_goods,39.4,30/08/1992,1992,33,1,1,0,1,0,0,-31,1,-14,12
1992-08-01,fitness_equipment,18.2,30/08/1992,1992,33,1,1,0,1,0,0,-31,1,-14,12
1992-08-01,school_supplies,52.2,30/08/1992,1992,33,1,1,0,1,0,0,-31,1,-14,12
1992-09-01,electronic_goods,34.3,27/09/1992,1992,37,0,0,0,1,0,0,-36,-4,-19,7
1992-09-01,fitness_equipment,18.1,27/09/1992,1992,37,0,0,0,1,0,0,-36,-4,-19,7
1992-09-01,school_supplies,51.8,27/09/1992,1992,37,0,0,0,1,0,0,-36,-4,-19,7
1992-10-01,electronic_goods,34.6,25/10/1992,1992,41,0,0,0,0,0,1,-40,-8,-23,3
1992-10-01,fitness_equipment,17.5,25/10/1992,1992,41,0,0,0,0,0,1,-40,-8,-23,3
1992-10-01,school_supplies,52.2,25/10/1992,1992,41,0,0,0,0,0,1,-40,-8,-23,3
1992-11-01,electronic_goods,33.9,29/11/1992,1992,46,0,0,0,0,0,1,-44,-12,-27,-1
1992-11-01,fitness_equipment,17.9,29/11/1992,1992,46,0,0,0,0,0,1,-44,-12,-27,-1
1992-11-01,school_supplies,51.6,29/11/1992,1992,46,0,0,0,0,0,1,-44,-12,-27,-1
1992-12-01,electronic_goods,33.4,27/12/1992,1992,50,2,1,0,0,0,1,-49,-17,-32,-6
1992-12-01,fitness_equipment,16.4,27/12/1992,1992,50,2,1,0,0,0,1,-49,-17,-32,-6
1992-12-01,school_supplies,52.8,27/12/1992,1992,50,2,1,0,0,0,1,-49,-17,-32,-6
1993-01-01,electronic_goods,31.9,31/01/1993,1993,1,0,0,1,0,0,0,-1,31,16,43
1993-01-01,fitness_equipment,17.8,31/01/1993,1993,1,0,0,1,0,0,0,-1,31,16,43
1993-01-01,school_supplies,53.4,31/01/1993,1993,1,0,0,1,0,0,0,-1,31,16,43
1993-02-01,electronic_goods,31.1,28/02/1993,1993,5,0,0,0,0,0,0,-5,27,12,39
1993-02-01,fitness_equipment,18.7,28/02/1993,1993,5,0,0,0,0,0,0,-5,27,12,39
1993-02-01,school_supplies,52.9,28/02/1993,1993,5,0,0,0,0,0,0,-5,27,12,39
1993-03-01,electronic_goods,30.3,28/03/1993,1993,10,0,0,0,0,0,0,-9,23,8,35
1993-03-01,fitness_equipment,19.0,28/03/1993,1993,10,0,0,0,0,0,0,-9,23,8,35
1993-03-01,school_supplies,52.5,28/03/1993,1993,10,0,0,0,0,0,0,-9,23,8,35
1993-04-01,electronic_goods,30.5,25/04/1993,1993,14,1,1,0,0,1,0,-14,18,3,30
1993-04-01,fitness_equipment,18.4,25/04/1993,1993,14,1,1,0,0,1,0,-14,18,3,30
1993-04-01,school_supplies,53.0,25/04/1993,1993,14,1,1,0,0,1,0,-14,18,3,30
1993-05-01,electronic_goods,29.8,30/05/1993,1993,19,1,1,0,0,1,0,-18,14,-1,26
1993-05-01,fitness_equipment,19.2,30/05/1993,1993,19,1,1,0,0,1,0,-18,14,-1,26
1993-05-01,school_supplies,53.1,30/05/1993,1993,19,1,1,0,0,1,0,-18,14,-1,26
1993-06-01,electronic_goods,30.0,27/06/1993,1993,23,0,0,0,0,1,0,-23,9,-6,21
1993-06-01,fitness_equipment,19.1,27/06/1993,1993,23,0,0,0,0,1,0,-23,9,-6,21
1993-06-01,school_supplies,54.1,27/06/1993,1993,23,0,0,0,0,1,0,-23,9,-6,21
1993-07-01,electronic_goods,29.8,25/07/1993,1993,27,0,0,0,0,0,0,-27,5,-10,17
1993-07-01,fitness_equipment,19.0,25/07/1993,1993,27,0,0,0,0,0,0,-27,5,-10,17
1993-07-01,school_supplies,54.1,25/07/1993,1993,27,0,0,0,0,0,0,-27,5,-10,17
1993-08-01,electronic_goods,29.6,29/08/1993,1993,32,1,1,0,1,0,0,-31,1,-14,13
1993-08-01,fitness_equipment,19.4,29/08/1993,1993,32,1,1,0,1,0,0,-31,1,-14,13
1993-08-01,school_supplies,54.1,29/08/1993,1993,32,1,1,0,1,0,0,-31,1,-14,13
1993-09-01,electronic_goods,29.5,26/09/1993,1993,36,0,0,0,1,0,0,-36,-4,-19,8
1993-09-01,fitness_equipment,19.2,26/09/1993,1993,36,0,0,0,1,0,0,-36,-4,-19,8
1993-09-01,school_supplies,53.6,26/09/1993,1993,36,0,0,0,1,0,0,-36,-4,-19,8
1993-10-01,electronic_goods,29.4,31/10/1993,1993,40,0,0,0,0,0,0,-40,-8,-23,4
1993-10-01,fitness_equipment,19.3,31/10/1993,1993,40,0,0,0,0,0,0,-40,-8,-23,4
1993-10-01,school_supplies,53.9,31/10/1993,1993,40,0,0,0,0,0,0,-40,-8,-23,4
1993-11-01,electronic_goods,28.9,28/11/1993,1993,45,0,0,0,0,0,1,-44,-12,-27,0
1993-11-01,fitness_equipment,19.6,28/11/1993,1993,45,0,0,0,0,0,1,-44,-12,-27,0
1993-11-01,school_supplies,52.8,28/11/1993,1993,45,0,0,0,0,0,1,-44,-12,-27,0
1993-12-01,electronic_goods,30.2,26/12/1993,1993,49,2,1,0,0,0,1,-49,-17,-32,-5
1993-12-01,fitness_equipment,19.8,26/12/1993,1993,49,2,1,0,0,0,1,-49,-17,-32,-5
1993-12-01,school_supplies,55.2,26/12/1993,1993,49,2,1,0,0,0,1,-49,-17,-32,-5
1994-01-01,electronic_goods,30.9,30/01/1994,1994,2,0,0,1,0,0,0,-1,32,16,43
1994-01-01,fitness_equipment,19.5,30/01/1994,1994,2,0,0,1,0,0,0,-1,32,16,43
1994-01-01,school_supplies,54.6,30/01/1994,1994,2,0,0,1,0,0,0,-1,32,16,43
1994-02-01,electronic_goods,28.7,27/02/1994,1994,6,0,0,0,0,0,0,-6,27,11,38
1994-02-01,fitness_equipment,19.3,27/02/1994,1994,6,0,0,0,0,0,0,-6,27,11,38
1994-02-01,school_supplies,53.0,27/02/1994,1994,6,0,0,0,0,0,0,-6,27,11,38
1994-03-01,electronic_goods,28.2,27/03/1994,1994,10,1,1,0,0,0,0,-10,23,7,34
1994-03-01,fitness_equipment,19.4,27/03/1994,1994,10,1,1,0,0,0,0,-10,23,7,34
1994-03-01,school_supplies,54.9,27/03/1994,1994,10,1,1,0,0,0,0,-10,23,7,34
1994-04-01,electronic_goods,29.5,24/04/1994,1994,14,1,1,0,0,1,0,-14,19,3,30
1994-04-01,fitness_equipment,19.6,24/04/1994,1994,14,1,1,0,0,1,0,-14,19,3,30
1994-04-01,school_supplies,54.1,24/04/1994,1994,14,1,1,0,0,1,0,-14,19,3,30
1994-05-01,electronic_goods,30.0,29/05/1994,1994,19,1,1,0,0,1,0,-18,15,-1,26
1994-05-01,fitness_equipment,20.0,29/05/1994,1994,19,1,1,0,0,1,0,-18,15,-1,26
1994-05-01,school_supplies,54.4,29/05/1994,1994,19,1,1,0,0,1,0,-18,15,-1,26
1994-06-01,electronic_goods,29.7,26/06/1994,1994,23,0,0,0,0,1,0,-23,10,-6,21
1994-06-01,fitness_equipment,19.9,26/06/1994,1994,23,0,0,0,0,1,0,-23,10,-6,21
1994-06-01,school_supplies,54.3,26/06/1994,1994,23,0,0,0,0,1,0,-23,10,-6,21
1994-07-01,electronic_goods,30.5,31/07/1994,1994,27,0,0,0,0,0,0,-27,6,-10,17
1994-07-01,fitness_equipment,19.9,31/07/1994,1994,27,0,0,0,0,0,0,-27,6,-10,17
1994-07-01,school_supplies,54.6,31/07/1994,1994,27,0,0,0,0,0,0,-27,6,-10,17
1994-08-01,electronic_goods,30.1,28/08/1994,1994,32,1,1,0,1,0,0,-31,2,-14,13
1994-08-01,fitness_equipment,19.9,28/08/1994,1994,32,1,1,0,1,0,0,-31,2,-14,13
1994-08-01,school_supplies,54.9,28/08/1994,1994,32,1,1,0,1,0,0,-31,2,-14,13
1994-09-01,electronic_goods,30.5,25/09/1994,1994,36,0,0,0,1,0,0,-36,-3,-19,8
1994-09-01,fitness_equipment,20.1,25/09/1994,1994,36,0,0,0,1,0,0,-36,-3,-19,8
1994-09-01,school_supplies,55.2,25/09/1994,1994,36,0,0,0,1,0,0,-36,-3,-19,8
1994-10-01,electronic_goods,27.8,30/10/1994,1994,41,0,0,0,0,0,1,-40,-7,-23,4
1994-10-01,fitness_equipment,20.4,30/10/1994,1994,41,0,0,0,0,0,1,-40,-7,-23,4
1994-10-01,school_supplies,54.9,30/10/1994,1994,41,0,0,0,0,0,1,-40,-7,-23,4
1994-11-01,electronic_goods,31.3,27/11/1994,1994,45,0,0,0,0,0,1,-45,-12,-28,-1
1994-11-01,fitness_equipment,20.2,27/11/1994,1994,45,0,0,0,0,0,1,-45,-12,-28,-1
1994-11-01,school_supplies,53.7,27/11/1994,1994,45,0,0,0,0,0,1,-45,-12,-28,-1
1994-12-01,electronic_goods,30.7,25/12/1994,1994,49,2,1,0,0,0,1,-49,-16,-32,-5
1994-12-01,fitness_equipment,20.0,25/12/1994,1994,49,2,1,0,0,0,1,-49,-16,-32,-5
1994-12-01,school_supplies,54.3,25/12/1994,1994,49,2,1,0,0,0,1,-49,-16,-32,-5
1995-01-01,electronic_goods,28.7,29/01/1995,1995,2,0,0,1,0,0,0,-1,32,17,43
1995-01-01,fitness_equipment,20.4,29/01/1995,1995,2,0,0,1,0,0,0,-1,32,17,43
1995-01-01,school_supplies,52.2,29/01/1995,1995,2,0,0,1,0,0,0,-1,32,17,43
1995-02-01,electronic_goods,30.4,26/02/1995,1995,6,0,0,0,0,0,0,-6,27,12,38
1995-02-01,fitness_equipment,20.6,26/02/1995,1995,6,0,0,0,0,0,0,-6,27,12,38
1995-02-01,school_supplies,54.5,26/02/1995,1995,6,0,0,0,0,0,0,-6,27,12,38
1995-03-01,electronic_goods,30.4,26/03/1995,1995,10,0,0,0,0,0,0,-10,23,8,34
1995-03-01,fitness_equipment,20.3,26/03/1995,1995,10,0,0,0,0,0,0,-10,23,8,34
1995-03-01,school_supplies,54.2,26/03/1995,1995,10,0,0,0,0,0,0,-10,23,8,34
1995-04-01,electronic_goods,30.2,30/04/1995,1995,14,1,1,0,0,0,0,-14,19,4,30
1995-04-01,fitness_equipment,19.9,30/04/1995,1995,14,1,1,0,0,0,0,-14,19,4,30
1995-04-01,school_supplies,54.1,30/04/1995,1995,14,1,1,0,0,0,0,-14,19,4,30
